"Cestna vozila konec leta (31.12.) glede na vrsto vozila in obèino, Slovenija, letno"

"VRSTA VOZILA","OBÈINE","2007","2008","2009","2010","2011","2012","2013","2014"
"Vozila - SKUPAJ","SLOVENIJA",1286903,1343252,1366561,1375556,1386890,1393645,1396691,1412316
"Vozila - SKUPAJ","Ajdovšèina",14055,14765,14989,15112,15068,14635,14595,14816
"Vozila - SKUPAJ","Ankaran/Ancarano",-,-,-,-,-,-,-,-
"Vozila - SKUPAJ","Apaèe",399,957,1432,1794,2141,2418,2606,2683
"Vozila - SKUPAJ","Beltinci",5096,5301,5355,5433,5518,5580,5659,5741
"Vozila - SKUPAJ","Benedikt",1475,1584,1655,1675,1711,1791,1786,1820
"Vozila - SKUPAJ","Bistrica ob Sotli",980,1059,1092,1101,1135,1156,1175,1209
"Vozila - SKUPAJ","Bled",6763,6473,6339,6071,5830,5640,5615,5593
"Vozila - SKUPAJ","Bloke",1258,1316,1347,1375,1412,1436,1447,1453
"Vozila - SKUPAJ","Bohinj",3206,3348,3444,3472,3475,3514,3547,3603
"Vozila - SKUPAJ","Borovnica",2310,2402,2502,2521,2539,2533,2620,2663
"Vozila - SKUPAJ","Bovec",1778,1819,1853,1879,1909,1915,1944,1957
"Vozila - SKUPAJ","Braslovèe",3591,3773,3814,3856,3943,3980,4024,4059
"Vozila - SKUPAJ","Brda",5125,5224,5366,5391,5346,5314,5336,5365
"Vozila - SKUPAJ","Brezovica",6920,7223,7441,7560,7694,7865,7956,8148
"Vozila - SKUPAJ","Brežice",15716,16474,17062,17123,17401,17564,17777,18017
"Vozila - SKUPAJ","Cankova",1467,1494,1521,1524,1547,1568,1573,1581
"Vozila - SKUPAJ","Celje",30462,31856,32095,32214,32481,32027,31758,31767
"Vozila - SKUPAJ","Cerklje na Gorenjskem",5035,5311,5453,5499,5611,5729,5941,6075
"Vozila - SKUPAJ","Cerknica",7474,7818,8030,8163,8351,8456,8534,8717
"Vozila - SKUPAJ","Cerkno",3066,3189,3255,3344,3426,3442,3426,3486
"Vozila - SKUPAJ","Cerkvenjak",1335,1416,1430,1445,1462,1480,1500,1542
"Vozila - SKUPAJ","Cirkulane",258,572,787,1042,1262,1412,1521,1533
"Vozila - SKUPAJ","Èrenšovci",2730,2851,2927,2989,2969,2889,2943,2959
"Vozila - SKUPAJ","Èrna na Koroškem",1812,1817,1838,1847,1894,1891,1899,1886
"Vozila - SKUPAJ","Èrnomelj",9010,9442,9599,9649,9804,9923,9995,10238
"Vozila - SKUPAJ","Destrnik",1757,1800,1845,1873,1913,1923,1970,1967
"Vozila - SKUPAJ","Divaèa",2787,2915,2973,3027,3076,3079,3103,3208
"Vozila - SKUPAJ","Dobje",676,708,728,746,775,788,764,795
"Vozila - SKUPAJ","Dobrepolje",2415,2503,2556,2636,2732,2800,2813,2862
"Vozila - SKUPAJ","Dobrna",1192,1282,1336,1360,1398,1432,1410,1447
"Vozila - SKUPAJ","Dobrova - Polhov Gradec",4766,4919,5049,5105,5201,5304,5367,5457
"Vozila - SKUPAJ","Dobrovnik/Dobronak",843,854,884,900,916,918,916,931
"Vozila - SKUPAJ","Dol pri Ljubljani",3438,3612,3744,3770,3878,3945,3994,4086
"Vozila - SKUPAJ","Dolenjske Toplice",2152,2267,2343,2365,2402,2423,2457,2501
"Vozila - SKUPAJ","Domžale",20339,21198,21628,21761,22009,22139,22138,22531
"Vozila - SKUPAJ","Dornava",1697,1781,1838,1859,1916,1945,1968,2012
"Vozila - SKUPAJ","Dravograd",5401,5701,5842,5861,5958,6008,6042,6148
"Vozila - SKUPAJ","Duplek",4259,4513,4672,4710,4752,4777,4822,4903
"Vozila - SKUPAJ","Gorenja vas - Poljane",4575,4778,4916,5059,5136,5229,5321,5407
"Vozila - SKUPAJ","Gorišnica",3552,3457,3355,3191,3120,3087,3098,3150
"Vozila - SKUPAJ","Gorje",430,917,1265,1545,1811,2040,2032,2039
"Vozila - SKUPAJ","Gornja Radgona",7538,7349,7065,6762,6519,6364,6168,6218
"Vozila - SKUPAJ","Gornji Grad",1620,1652,1685,1713,1746,1763,1752,1748
"Vozila - SKUPAJ","Gornji Petrovci",1598,1678,1734,1740,1759,1829,1836,1850
"Vozila - SKUPAJ","Grad",1559,1602,1649,1681,1719,1731,1741,1765
"Vozila - SKUPAJ","Grosuplje",11954,12653,12925,13224,13365,13467,13571,13787
"Vozila - SKUPAJ","Hajdina",2731,2825,2843,2809,2851,2872,2941,2951
"Vozila - SKUPAJ","Hoèe - Slivnica",6654,7125,7245,7289,7358,7453,7517,7574
"Vozila - SKUPAJ","Hodoš/Hodos",247,256,266,261,263,263,259,265
"Vozila - SKUPAJ","Horjul",1976,2052,2113,2139,2143,2176,2161,2185
"Vozila - SKUPAJ","Hrastnik",5030,5229,5392,5384,5328,5267,5244,5268
"Vozila - SKUPAJ","Hrpelje - Kozina",3331,3454,3497,3561,3628,3699,3758,3870
"Vozila - SKUPAJ","Idrija",7275,7563,7709,7785,7898,7934,7976,8062
"Vozila - SKUPAJ","Ig",4183,4501,4668,4772,4894,5059,5036,5121
"Vozila - SKUPAJ","Ilirska Bistrica",10285,10719,10924,10969,11232,11432,11454,11555
"Vozila - SKUPAJ","Ivanèna Gorica",10524,11283,11485,11797,12016,12323,12465,12808
"Vozila - SKUPAJ","Izola/Isola",9822,10182,10334,10283,10254,10209,10198,10204
"Vozila - SKUPAJ","Jesenice",10753,11171,11213,11327,11303,11365,11187,11185
"Vozila - SKUPAJ","Jezersko",417,430,460,453,439,428,422,427
"Vozila - SKUPAJ","Juršinci",1530,1618,1692,1723,1771,1803,1820,1823
"Vozila - SKUPAJ","Kamnik",16729,17589,17963,17928,18155,18294,18357,18528
"Vozila - SKUPAJ","Kanal",3882,4004,4077,4073,4115,4065,4074,4076
"Vozila - SKUPAJ","Kidrièevo",4559,4763,4866,4870,5004,5021,5078,5195
"Vozila - SKUPAJ","Kobarid",2709,2808,2872,2897,2923,2934,2937,2948
"Vozila - SKUPAJ","Kobilje",389,399,400,401,402,420,415,423
"Vozila - SKUPAJ","Koèevje",8864,9249,9312,9348,9412,9330,9259,9295
"Vozila - SKUPAJ","Komen",2979,3031,3123,3141,3189,3227,3286,3326
"Vozila - SKUPAJ","Komenda",3596,3812,3926,4035,4182,4259,4309,4412
"Vozila - SKUPAJ","Koper/Capodistria",36040,37725,38161,38499,38887,38506,38578,38940
"Vozila - SKUPAJ","Kostanjevica na Krki",374,794,1141,1393,1641,1902,1959,1978
"Vozila - SKUPAJ","Kostel",399,423,429,426,432,438,447,446
"Vozila - SKUPAJ","Kozje",2244,2383,2432,2496,2530,2587,2651,2651
"Vozila - SKUPAJ","Kranj",32487,33756,34402,34646,34985,34791,34686,35073
"Vozila - SKUPAJ","Kranjska Gora",3397,3530,3637,3675,3707,3684,3668,3703
"Vozila - SKUPAJ","Križevci",2534,2616,2663,2679,2720,2773,2756,2816
"Vozila - SKUPAJ","Krško",18500,19046,19221,19217,19145,19072,19220,19415
"Vozila - SKUPAJ","Kungota",3012,3136,3183,3198,3286,3285,3375,3419
"Vozila - SKUPAJ","Kuzma",1039,1090,1117,1137,1164,1169,1194,1212
"Vozila - SKUPAJ","Laško",8750,9085,9294,9356,9474,9458,9503,9594
"Vozila - SKUPAJ","Lenart",7341,6860,6380,6009,5737,5527,5514,5605
"Vozila - SKUPAJ","Lendava/Lendva",7080,7276,7325,7413,7432,7367,7344,7363
"Vozila - SKUPAJ","Litija",8694,8991,9278,9432,9590,9756,9872,10017
"Vozila - SKUPAJ","Ljubljana",170411,176230,177378,175833,174099,173574,172173,172489
"Vozila - SKUPAJ","Ljubno",1743,1813,1846,1932,1993,2019,2054,2085
"Vozila - SKUPAJ","Ljutomer",7913,8255,8339,8438,8484,8517,8416,8565
"Vozila - SKUPAJ","Log - Dragomer",544,1147,1603,2076,2309,2471,2471,2513
"Vozila - SKUPAJ","Logatec",7910,8376,8706,8779,8909,9019,9093,9237
"Vozila - SKUPAJ","Loška dolina",2581,2683,2801,2822,2846,2860,2885,2929
"Vozila - SKUPAJ","Loški Potok",1350,1389,1470,1493,1500,1500,1495,1522
"Vozila - SKUPAJ","Lovrenc na Pohorju",1821,1906,1949,1948,1947,1964,1974,1988
"Vozila - SKUPAJ","Luèe",922,950,991,1034,1062,1087,1112,1108
"Vozila - SKUPAJ","Lukovica",3629,3868,3961,4037,4111,4191,4291,4388
"Vozila - SKUPAJ","Majšperk",2763,2878,2940,2928,2987,3036,3038,3055
"Vozila - SKUPAJ","Makole",229,540,783,1006,1246,1393,1446,1489
"Vozila - SKUPAJ","Maribor",63618,66049,65837,65201,64585,64009,63230,63697
"Vozila - SKUPAJ","Markovci",2555,2689,2763,2822,2869,2883,2930,2988
"Vozila - SKUPAJ","Medvode",9582,9987,10231,10322,10430,10541,10550,10704
"Vozila - SKUPAJ","Mengeš",4360,4616,4787,4803,4809,4824,4804,4897
"Vozila - SKUPAJ","Metlika",5392,5747,5844,5948,6076,6162,6203,6279
"Vozila - SKUPAJ","Mežica",1891,1967,2007,2042,2047,2080,2065,2110
"Vozila - SKUPAJ","Miklavž na Dravskem polju",4078,4213,4293,4303,4387,4363,4370,4454
