"Cestnoprometne nesreèe in udeleženci v nesreèah, statistiène regije, Slovenija, 2007 - 2014"

"STATISTIÈNA REGIJA","2007 Prometne nesreèe - SKUPAJ","2007 Prometne nesreèe s smrtnim izidom","2007 Prometne nesreèe s telesno poškodbo","2007 Prometne nesreèe z materialno škodo","2007 Število udeležencev - SKUPAJ","2007 Število udeležencev - mrtvi","2007 Število udeležencev s hudo telesno poškodbo","2007 Število udeležencev z lahko telesno poškodbo","2007 Število udeležencev brez poškodbe","2008 Prometne nesreèe - SKUPAJ","2008 Prometne nesreèe s smrtnim izidom","2008 Prometne nesreèe s telesno poškodbo","2008 Prometne nesreèe z materialno škodo","2008 Število udeležencev - SKUPAJ","2008 Število udeležencev - mrtvi","2008 Število udeležencev s hudo telesno poškodbo","2008 Število udeležencev z lahko telesno poškodbo","2008 Število udeležencev brez poškodbe","2009 Prometne nesreèe - SKUPAJ","2009 Prometne nesreèe s smrtnim izidom","2009 Prometne nesreèe s telesno poškodbo","2009 Prometne nesreèe z materialno škodo","2009 Število udeležencev - SKUPAJ","2009 Število udeležencev - mrtvi","2009 Število udeležencev s hudo telesno poškodbo","2009 Število udeležencev z lahko telesno poškodbo","2009 Število udeležencev brez poškodbe","2010 Prometne nesreèe - SKUPAJ","2010 Prometne nesreèe s smrtnim izidom","2010 Prometne nesreèe s telesno poškodbo","2010 Prometne nesreèe z materialno škodo","2010 Število udeležencev - SKUPAJ","2010 Število udeležencev - mrtvi","2010 Število udeležencev s hudo telesno poškodbo","2010 Število udeležencev z lahko telesno poškodbo","2010 Število udeležencev brez poškodbe","2011 Prometne nesreèe - SKUPAJ","2011 Prometne nesreèe s smrtnim izidom","2011 Prometne nesreèe s telesno poškodbo","2011 Prometne nesreèe z materialno škodo","2011 Število udeležencev - SKUPAJ","2011 Število udeležencev - mrtvi","2011 Število udeležencev s hudo telesno poškodbo","2011 Število udeležencev z lahko telesno poškodbo","2011 Število udeležencev brez poškodbe","2012 Prometne nesreèe - SKUPAJ","2012 Prometne nesreèe s smrtnim izidom","2012 Prometne nesreèe s telesno poškodbo","2012 Prometne nesreèe z materialno škodo","2012 Število udeležencev - SKUPAJ","2012 Število udeležencev - mrtvi","2012 Število udeležencev s hudo telesno poškodbo","2012 Število udeležencev z lahko telesno poškodbo","2012 Število udeležencev brez poškodbe","2013 Prometne nesreèe - SKUPAJ","2013 Prometne nesreèe s smrtnim izidom","2013 Prometne nesreèe s telesno poškodbo","2013 Prometne nesreèe z materialno škodo","2013 Število udeležencev - SKUPAJ","2013 Število udeležencev - mrtvi","2013 Število udeležencev s hudo telesno poškodbo","2013 Število udeležencev z lahko telesno poškodbo","2013 Število udeležencev brez poškodbe","2014 Prometne nesreèe - SKUPAJ","2014 Prometne nesreèe s smrtnim izidom","2014 Prometne nesreèe s telesno poškodbo","2014 Prometne nesreèe z materialno škodo","2014 Število udeležencev - SKUPAJ","2014 Število udeležencev - mrtvi","2014 Število udeležencev s hudo telesno poškodbo","2014 Število udeležencev z lahko telesno poškodbo","2014 Število udeležencev brez poškodbe"
"SLOVENIJA",30401,263,11151,18987,58959,293,1263,14774,42629,22783,200,8738,13845,44139,214,1068,11341,31516,20597,154,8435,12008,39604,171,1032,11082,27319,21347,127,7433,13787,40348,138,865,9451,29894,22913,129,7089,15695,42105,141,919,8754,32291,22035,122,6742,15171,39971,130,848,8300,30693,18904,116,6426,12362,34481,125,708,8034,25614,18251,97,6167,11987,33253,108,826,7394,24925
"Pomurska",1686,24,522,1140,2889,28,79,616,2166,1155,16,432,707,2070,16,71,514,1469,929,6,430,493,1653,6,49,536,1062,987,10,371,606,1708,10,48,425,1225,1683,3,397,1283,2550,3,54,489,2004,1639,9,326,1304,2423,9,55,374,1985,1045,8,271,766,1622,9,22,312,1279,909,5,309,595,1497,5,54,342,1096
"Podravska",7590,44,2814,4732,15188,51,186,4109,10842,5026,41,2329,2656,10293,42,167,3451,6633,4397,21,2254,2122,9078,23,148,3392,5515,4482,17,1865,2600,8763,18,115,2609,6021,4528,27,1531,2970,8420,32,110,2006,6272,4279,15,1424,2840,7875,15,107,1857,5896,3724,16,1368,2340,6847,16,92,1825,4914,3712,17,1313,2382,6870,21,87,1751,5011
"Koroška",837,8,375,454,1658,9,34,530,1085,654,7,268,379,1259,8,27,338,886,582,5,259,318,1100,5,39,321,735,690,4,248,438,1311,4,22,337,948,600,6,213,381,1124,7,28,273,816,656,5,214,437,1179,6,27,271,875,510,3,179,328,975,3,7,265,700,495,3,169,323,896,3,24,214,655
"Savinjska",3935,41,1647,2247,7759,41,152,2246,5320,2789,32,1220,1537,5535,33,153,1676,3673,2453,20,1255,1178,5020,25,136,1822,3037,2468,14,999,1455,4804,14,110,1324,3356,2736,10,1058,1668,5268,10,129,1382,3747,3012,16,1136,1860,5676,16,128,1493,4039,2706,19,1096,1591,5147,20,121,1471,3535,2454,12,1039,1403,4557,12,120,1315,3110
"Zasavska",477,6,144,327,911,6,7,208,690,352,3,124,225,658,3,13,163,479,269,4,104,161,563,4,14,147,398,234,1,94,139,447,2,14,111,320,280,0,104,176,534,0,12,120,402,323,4,115,204,601,6,13,146,436,195,1,75,119,386,1,6,101,278,190,1,86,103,364,1,6,99,258
"Spodnjeposavska",757,6,259,492,1377,6,40,288,1043,564,6,203,355,1050,7,29,249,765,570,5,175,390,1081,5,22,227,827,624,6,177,441,1140,6,35,196,903,584,3,158,423,1020,3,23,188,806,514,3,143,368,903,3,23,151,726,432,9,135,288,802,12,31,158,601,387,2,140,245,708,2,23,160,523
"Jugovzhodna Slovenija",1756,21,718,1017,3378,21,90,970,2297,1228,16,552,660,2335,18,85,681,1551,1165,16,512,637,2131,19,75,600,1437,1308,12,452,844,2387,13,58,598,1718,1190,10,425,755,2114,10,66,514,1524,1162,8,393,761,2080,9,48,486,1537,1091,6,383,702,1910,6,50,488,1366,1069,5,382,682,1824,5,64,437,1318
"Osrednjeslovenska",7649,56,2959,4634,15080,66,374,3851,10789,6308,38,2151,4119,12211,41,278,2672,9220,5581,34,2043,3504,10790,35,291,2500,7964,5986,30,1962,3994,11633,33,235,2452,8913,6184,32,1832,4320,12059,33,239,2284,9503,5697,21,1717,3959,11031,24,199,2129,8679,5259,19,1589,3651,9976,21,157,2000,7798,4965,20,1486,3459,9402,24,176,1756,7446
"Gorenjska",2124,24,647,1453,4027,28,108,746,3145,1700,16,541,1143,3216,18,85,610,2503,1579,20,531,1028,2939,23,98,600,2218,1820,17,442,1361,3248,18,85,488,2657,1831,14,495,1322,3232,16,90,570,2556,1658,16,451,1191,2846,16,83,491,2256,1449,15,489,945,2457,15,80,502,1860,1594,9,441,1144,2732,10,79,471,2172
