"Cestnoprometne nesreèe in udeleženci v nesreèah, statistiène regije, Slovenija, 2007 - 2014"

"STATISTIÈNA REGIJA","2007 Število udeležencev - SKUPAJ","2007 Število udeležencev - mrtvi","2007 Število udeležencev s hudo telesno poškodbo","2007 Število udeležencev z lahko telesno poškodbo","2007 Število udeležencev brez poškodbe","2008 Število udeležencev - SKUPAJ","2008 Število udeležencev - mrtvi","2008 Število udeležencev s hudo telesno poškodbo","2008 Število udeležencev z lahko telesno poškodbo","2008 Število udeležencev brez poškodbe","2009 Število udeležencev - SKUPAJ","2009 Število udeležencev - mrtvi","2009 Število udeležencev s hudo telesno poškodbo","2009 Število udeležencev z lahko telesno poškodbo","2009 Število udeležencev brez poškodbe","2010 Število udeležencev - SKUPAJ","2010 Število udeležencev - mrtvi","2010 Število udeležencev s hudo telesno poškodbo","2010 Število udeležencev z lahko telesno poškodbo","2010 Število udeležencev brez poškodbe","2011 Število udeležencev - SKUPAJ","2011 Število udeležencev - mrtvi","2011 Število udeležencev s hudo telesno poškodbo","2011 Število udeležencev z lahko telesno poškodbo","2011 Število udeležencev brez poškodbe","2012 Število udeležencev - SKUPAJ","2012 Število udeležencev - mrtvi","2012 Število udeležencev s hudo telesno poškodbo","2012 Število udeležencev z lahko telesno poškodbo","2012 Število udeležencev brez poškodbe","2013 Število udeležencev - SKUPAJ","2013 Število udeležencev - mrtvi","2013 Število udeležencev s hudo telesno poškodbo","2013 Število udeležencev z lahko telesno poškodbo","2013 Število udeležencev brez poškodbe","2014 Število udeležencev - SKUPAJ","2014 Število udeležencev - mrtvi","2014 Število udeležencev s hudo telesno poškodbo","2014 Število udeležencev z lahko telesno poškodbo","2014 Število udeležencev brez poškodbe"
"SLOVENIJA",58959,293,1263,14774,42629,44139,214,1068,11341,31516,39604,171,1032,11082,27319,40348,138,865,9451,29894,42105,141,919,8754,32291,39971,130,848,8300,30693,34481,125,708,8034,25614,33253,108,826,7394,24925
"Pomurska",2889,28,79,616,2166,2070,16,71,514,1469,1653,6,49,536,1062,1708,10,48,425,1225,2550,3,54,489,2004,2423,9,55,374,1985,1622,9,22,312,1279,1497,5,54,342,1096
"Podravska",15188,51,186,4109,10842,10293,42,167,3451,6633,9078,23,148,3392,5515,8763,18,115,2609,6021,8420,32,110,2006,6272,7875,15,107,1857,5896,6847,16,92,1825,4914,6870,21,87,1751,5011
"Koroška",1658,9,34,530,1085,1259,8,27,338,886,1100,5,39,321,735,1311,4,22,337,948,1124,7,28,273,816,1179,6,27,271,875,975,3,7,265,700,896,3,24,214,655
"Savinjska",7759,41,152,2246,5320,5535,33,153,1676,3673,5020,25,136,1822,3037,4804,14,110,1324,3356,5268,10,129,1382,3747,5676,16,128,1493,4039,5147,20,121,1471,3535,4557,12,120,1315,3110
"Zasavska",911,6,7,208,690,658,3,13,163,479,563,4,14,147,398,447,2,14,111,320,534,0,12,120,402,601,6,13,146,436,386,1,6,101,278,364,1,6,99,258
"Spodnjeposavska",1377,6,40,288,1043,1050,7,29,249,765,1081,5,22,227,827,1140,6,35,196,903,1020,3,23,188,806,903,3,23,151,726,802,12,31,158,601,708,2,23,160,523
"Jugovzhodna Slovenija",3378,21,90,970,2297,2335,18,85,681,1551,2131,19,75,600,1437,2387,13,58,598,1718,2114,10,66,514,1524,2080,9,48,486,1537,1910,6,50,488,1366,1824,5,64,437,1318
"Osrednjeslovenska",15080,66,374,3851,10789,12211,41,278,2672,9220,10790,35,291,2500,7964,11633,33,235,2452,8913,12059,33,239,2284,9503,11031,24,199,2129,8679,9976,21,157,2000,7798,9402,24,176,1756,7446
"Gorenjska",4027,28,108,746,3145,3216,18,85,610,2503,2939,23,98,600,2218,3248,18,85,488,2657,3232,16,90,570,2556,2846,16,83,491,2256,2457,15,80,502,1860,2732,10,79,471,2172
"Notranjsko-kraška",1190,15,30,327,818,886,4,28,211,643,848,6,30,178,634,987,3,25,206,753,1062,7,39,231,785,889,6,36,189,658,793,8,26,217,542,721,6,33,185,497
"Goriška",2349,7,63,460,1819,2037,15,69,378,1575,1922,11,74,381,1456,1584,6,56,329,1193,1731,11,63,327,1330,1731,12,68,323,1328,1497,6,59,294,1138,1495,9,75,301,1110
"Obalno-kraška",3153,15,100,423,2615,2589,9,63,398,2119,2479,9,56,378,2036,2336,11,62,376,1887,2991,9,66,370,2546,2737,8,61,390,2278,2069,8,57,401,1603,2187,10,85,363,1729
