"Cestnoprometne nesreèe in udeleženci v nesreèah, statistiène regije, Slovenija, 2007 - 2014"

"STATISTIÈNA REGIJA","2007 Prometne nesreèe - SKUPAJ","2007 Prometne nesreèe s smrtnim izidom","2007 Prometne nesreèe s telesno poškodbo","2007 Prometne nesreèe z materialno škodo","2008 Prometne nesreèe - SKUPAJ","2008 Prometne nesreèe s smrtnim izidom","2008 Prometne nesreèe s telesno poškodbo","2008 Prometne nesreèe z materialno škodo","2009 Prometne nesreèe - SKUPAJ","2009 Prometne nesreèe s smrtnim izidom","2009 Prometne nesreèe s telesno poškodbo","2009 Prometne nesreèe z materialno škodo","2010 Prometne nesreèe - SKUPAJ","2010 Prometne nesreèe s smrtnim izidom","2010 Prometne nesreèe s telesno poškodbo","2010 Prometne nesreèe z materialno škodo","2011 Prometne nesreèe - SKUPAJ","2011 Prometne nesreèe s smrtnim izidom","2011 Prometne nesreèe s telesno poškodbo","2011 Prometne nesreèe z materialno škodo","2012 Prometne nesreèe - SKUPAJ","2012 Prometne nesreèe s smrtnim izidom","2012 Prometne nesreèe s telesno poškodbo","2012 Prometne nesreèe z materialno škodo","2013 Prometne nesreèe - SKUPAJ","2013 Prometne nesreèe s smrtnim izidom","2013 Prometne nesreèe s telesno poškodbo","2013 Prometne nesreèe z materialno škodo","2014 Prometne nesreèe - SKUPAJ","2014 Prometne nesreèe s smrtnim izidom","2014 Prometne nesreèe s telesno poškodbo","2014 Prometne nesreèe z materialno škodo"
"SLOVENIJA",30401,263,11151,18987,22783,200,8738,13845,20597,154,8435,12008,21347,127,7433,13787,22913,129,7089,15695,22035,122,6742,15171,18904,116,6426,12362,18251,97,6167,11987
"Pomurska",1686,24,522,1140,1155,16,432,707,929,6,430,493,987,10,371,606,1683,3,397,1283,1639,9,326,1304,1045,8,271,766,909,5,309,595
"Podravska",7590,44,2814,4732,5026,41,2329,2656,4397,21,2254,2122,4482,17,1865,2600,4528,27,1531,2970,4279,15,1424,2840,3724,16,1368,2340,3712,17,1313,2382
"Koroška",837,8,375,454,654,7,268,379,582,5,259,318,690,4,248,438,600,6,213,381,656,5,214,437,510,3,179,328,495,3,169,323
"Savinjska",3935,41,1647,2247,2789,32,1220,1537,2453,20,1255,1178,2468,14,999,1455,2736,10,1058,1668,3012,16,1136,1860,2706,19,1096,1591,2454,12,1039,1403
"Zasavska",477,6,144,327,352,3,124,225,269,4,104,161,234,1,94,139,280,0,104,176,323,4,115,204,195,1,75,119,190,1,86,103
"Spodnjeposavska",757,6,259,492,564,6,203,355,570,5,175,390,624,6,177,441,584,3,158,423,514,3,143,368,432,9,135,288,387,2,140,245
"Jugovzhodna Slovenija",1756,21,718,1017,1228,16,552,660,1165,16,512,637,1308,12,452,844,1190,10,425,755,1162,8,393,761,1091,6,383,702,1069,5,382,682
"Osrednjeslovenska",7649,56,2959,4634,6308,38,2151,4119,5581,34,2043,3504,5986,30,1962,3994,6184,32,1832,4320,5697,21,1717,3959,5259,19,1589,3651,4965,20,1486,3459
"Gorenjska",2124,24,647,1453,1700,16,541,1143,1579,20,531,1028,1820,17,442,1361,1831,14,495,1322,1658,16,451,1191,1449,15,489,945,1594,9,441,1144
"Notranjsko-kraška",627,12,246,369,477,4,172,301,477,6,164,307,527,3,164,360,552,7,185,360,488,6,163,319,408,7,160,241,342,5,118,219
"Goriška",1271,7,411,853,1181,13,369,799,1137,10,373,754,892,5,314,573,1012,10,318,684,1022,11,313,698,887,6,302,579,855,8,316,531
"Obalno-kraška",1692,14,409,1269,1349,8,377,964,1458,7,335,1116,1329,8,345,976,1733,7,373,1353,1585,8,347,1230,1198,7,379,812,1279,10,368,901
