"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"SLOVENIJA",2010377,2025866,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861
"Pomurska",122068,121824,119537,119548,119145,118988,118022,117133,116670,116078,115477,114776,114287,114238
"Podravska",319706,321781,322900,323343,323119,323534,323238,323328,323356,322553,322043,322058,324104,325994
"Koroška",73619,73714,72481,72812,72494,72364,72100,71546,71303,71040,70761,70550,70588,70755
"Savinjska",258480,261243,258845,260025,259726,260253,260217,259853,253975,254318,254761,254760,256359,257847
"Zasavska",45229,45226,44750,44706,44222,43926,43502,42983,57711,57404,57280,57061,56962,57156
"Posavska",70058,70353,69900,70192,70167,70164,70211,69958,75619,75711,75544,75359,75559,75824
"Jugovzhodna Slovenija",140258,141547,141166,142092,142483,142680,142509,142405,142373,142566,142711,142819,144032,145357
"Osrednjeslovenska",503935,508607,521965,529646,533213,536484,541718,546314,534518,537023,539672,542306,549171,555274
"Gorenjska",199902,201254,201779,202903,203427,204057,203984,203894,203850,203838,203800,203636,204670,206621
"Primorsko-notranjska",51483,52083,51728,52217,52287,52387,52382,52449,52538,52523,52582,52334,52544,52841
"Goriška",119477,120329,118533,119080,119146,119236,119002,118374,118188,118064,117747,117260,117616,118041
"Obalno-kraška",106162,107905,108778,110412,110760,111423,111936,112848,112773,113070,113517,113961,115016,115913
