"Cestna vozila konec leta (31.12.) glede na vrsto vozila in obèino, Slovenija, letno"

"OBÈINE","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"SLOVENIJA",1286903,1343252,1366561,1375556,1386890,1393645,1396691,1412316,1437531,1469501,1524582,1568896,1607854,1617217
"Ajdovšèina",14055,14765,14989,15112,15068,14635,14595,14816,15097,15508,16292,16918,17394,17585
"Ankaran/Ancarano",-,-,-,-,-,-,-,-,2115,2229,2290,2306,2322,2326
"Apaèe",399,957,1432,1794,2141,2418,2606,2683,2733,2782,2907,2977,3060,3080
"Beltinci",5096,5301,5355,5433,5518,5580,5659,5741,5754,5866,6081,6322,6454,6524
"Benedikt",1475,1584,1655,1675,1711,1791,1786,1820,1864,1966,2028,2088,2192,2196
"Bistrica ob Sotli",980,1059,1092,1101,1135,1156,1175,1209,1213,1240,1321,1371,1416,1411
"Bled",6763,6473,6339,6071,5830,5640,5615,5593,5601,5705,5854,5930,6063,6050
"Bloke",1258,1316,1347,1375,1412,1436,1447,1453,1477,1508,1575,1646,1676,1696
"Bohinj",3206,3348,3444,3472,3475,3514,3547,3603,3622,3698,3811,3965,4065,4085
"Borovnica",2310,2402,2502,2521,2539,2533,2620,2663,2744,2790,2932,3069,3169,3189
"Bovec",1778,1819,1853,1879,1909,1915,1944,1957,1963,2001,2068,2154,2200,2196
"Braslovèe",3591,3773,3814,3856,3943,3980,4024,4059,4128,4266,4495,4618,4752,4800
"Brda",5125,5224,5366,5391,5346,5314,5336,5365,5359,5487,5650,5816,5888,5883
"Brezovica",6920,7223,7441,7560,7694,7865,7956,8148,8276,8432,8712,9025,9385,9525
"Brežice",15716,16474,17062,17123,17401,17564,17777,18017,18237,18774,19304,19954,20544,20714
"Cankova",1467,1494,1521,1524,1547,1568,1573,1581,1602,1620,1632,1683,1738,1754
"Celje",30462,31856,32095,32214,32481,32027,31758,31767,32060,32945,34762,35851,37029,36854
"Cerklje na Gorenjskem",5035,5311,5453,5499,5611,5729,5941,6075,6153,6387,6569,6861,7051,7004
"Cerknica",7474,7818,8030,8163,8351,8456,8534,8717,8907,9129,9524,9793,9992,9970
"Cerkno",3066,3189,3255,3344,3426,3442,3426,3486,3516,3564,3660,3761,3828,3862
"Cerkvenjak",1335,1416,1430,1445,1462,1480,1500,1542,1580,1614,1681,1750,1799,1885
"Cirkulane",258,572,787,1042,1262,1412,1521,1533,1584,1582,1653,1722,1791,1829
