"","regija","leto","prebivalci","stevilo.poskodovanih","stevilo.nesrec","stevilo.vozil"
"1","SLOVENIJA",2007,2010377,58959,30401,1286903
"2","SLOVENIJA",2008,2025866,44139,22783,1343252
"3","SLOVENIJA",2009,2032362,39604,20597,1366561
"4","SLOVENIJA",2010,2046976,40348,21347,1375556
"5","SLOVENIJA",2011,2050189,42105,22913,1386890
"6","SLOVENIJA",2012,2055496,39971,22035,1393645
"7","SLOVENIJA",2013,2058821,34481,18904,1396691
"8","SLOVENIJA",2014,2061085,33253,18251,1412316
"9","SLOVENIJA",2015,2062874,33078,17971,1437531
"10","SLOVENIJA",2016,2064188,32970,17954,1469501
"11","SLOVENIJA",2017,2065895,32210,17671,1524582
"12","SLOVENIJA",2018,2066880,33452,18306,1568896
"13","SLOVENIJA",2019,2080908,34139,18937,1607854
"14","SLOVENIJA",2020,2095861,26052,14955,1617217
"15","Pomurska",2007,122068,2889,1686,79242
"16","Pomurska",2008,121824,2070,1155,82039
"17","Pomurska",2009,119537,1653,929,83382
"18","Pomurska",2010,119548,1708,987,84221
"19","Pomurska",2011,119145,2550,1683,85184
"20","Pomurska",2012,118988,2423,1639,85607
"21","Pomurska",2013,118022,1622,1045,85699
"22","Pomurska",2014,117133,1497,909,86594
"23","Pomurska",2015,116670,1396,817,87454
"24","Pomurska",2016,116078,1394,848,88854
"25","Pomurska",2017,115477,1390,834,92133
"26","Pomurska",2018,114776,1593,959,94622
"27","Pomurska",2019,114287,1380,862,96744
"28","Pomurska",2020,114238,1087,688,97075
"29","Podravska",2007,319706,15188,7590,197138
"30","Podravska",2008,321781,10293,5026,205971
"31","Podravska",2009,322900,9078,4397,208982
"32","Podravska",2010,323343,8763,4482,209697
"33","Podravska",2011,323119,8420,4528,211153
"34","Podravska",2012,323534,7875,4279,211896
"35","Podravska",2013,323238,6847,3724,212531
"36","Podravska",2014,323328,6870,3712,215052
"37","Podravska",2015,323356,6588,3510,219199
"38","Podravska",2016,322553,6697,3531,223616
"39","Podravska",2017,322043,6571,3504,231496
"40","Podravska",2018,322058,6689,3699,237523
"41","Podravska",2019,324104,6560,3608,243898
"42","Podravska",2020,325994,5038,2881,245839
"43","Koroška",2007,73619,1658,837,42365
"44","Koroška",2008,73714,1259,654,44388
"45","Koroška",2009,72481,1100,582,45182
"46","Koroška",2010,72812,1311,690,45578
"47","Koroška",2011,72494,1124,600,46302
"48","Koroška",2012,72364,1179,656,46679
"49","Koroška",2013,72100,975,510,47013
"50","Koroška",2014,71546,896,495,47538
"51","Koroška",2015,71303,1069,551,47975
"52","Koroška",2016,71040,887,469,49055
"53","Koroška",2017,70761,949,529,50597
"54","Koroška",2018,70550,969,513,52309
"55","Koroška",2019,70588,934,506,53435
"56","Koroška",2020,70755,616,352,54063
"57","Savinjska",2007,258480,7759,3935,156645
"58","Savinjska",2008,261243,5535,2789,164521
"59","Savinjska",2009,258845,5020,2453,167485
"60","Savinjska",2010,260025,4804,2468,169636
